Iteration,Train_Loss,Train_Acc,Val_Loss,Val_Acc
0,2.30258,0.15,2.30259,0.11
100,2.30293,0.04,2.29999,0.14
200,2.29974,0.12,2.30421,0.11
300,2.30281,0.12,2.30437,0.08
400,2.30219,0.1,2.29402,0.14
500,2.30247,0.15,2.29261,0.19
600,2.30033,0.11,2.29893,0.12
700,2.30098,0.12,2.30441,0.11
800,2.29174,0.15,2.30969,0.04
900,2.29805,0.12,2.30136,0.07
1000,2.28849,0.15,2.29149,0.1
1100,2.29603,0.11,2.30287,0.1
1200,2.25877,0.22,2.2232,0.25
1300,0.820573,0.77,0.839517,0.72
1400,0.531737,0.84,0.504265,0.81
1500,0.39094,0.9,0.22808,0.93
1600,0.187172,0.97,0.260618,0.92
1700,0.288154,0.95,0.353156,0.89
1800,0.241777,0.94,0.290733,0.91
1900,0.185306,0.97,0.181316,0.96
2000,0.124828,0.98,0.165272,0.95
2100,0.0730136,0.99,0.189999,0.96
2200,0.0956748,0.97,0.0680865,0.99
2300,0.162935,0.98,0.124636,0.98
2400,0.183011,0.97,0.0798337,0.98
2500,0.0340449,0.99,0.0497744,0.98
2600,0.0709636,0.99,0.0664869,0.98
2700,0.0908113,0.98,0.11059,0.96
2800,0.0321303,1,0.100477,0.98
2900,0.133182,0.98,0.115234,0.96
3000,0.0819567,0.98,0.0625804,0.97
3100,0.078402,0.99,0.0235142,0.99
3200,0.0774266,1,0.0307173,0.99
3300,0.0541892,0.99,0.0730146,0.99
3400,0.0281904,1,0.0501116,0.99
3500,0.209976,0.97,0.0733703,0.97
3600,0.0451277,1,0.0287781,0.99
3700,0.0336236,1,0.0701996,0.99
3800,0.0251901,1,0.0717118,0.97
3900,0.0486569,1,0.017583,1
4000,0.0892477,0.98,0.0379277,0.99
4100,0.0482726,0.99,0.0910319,0.96
4200,0.0921158,1,0.0546513,0.98
4300,0.0227482,1,0.0748179,0.97
4400,0.0455261,0.99,0.0233867,0.99
4500,0.0817687,0.98,0.0537422,0.99
4600,0.0838104,1,0.0400752,0.98
4700,0.0500631,0.99,0.0497684,0.97
4800,0.0574026,1,0.0411052,0.98
4900,0.0539176,1,0.0674428,0.99
5000,0.0250718,1,0.0529324,0.98
5100,0.127276,0.99,0.0604696,0.98
5200,0.0670372,1,0.0565982,0.99
5300,0.100195,1,0.0380922,0.98
5400,0.057114,1,0.022747,0.99
5500,0.0478262,1,0.0285063,1
5600,0.0183224,1,0.0507926,0.98
5700,0.0245204,1,0.0110838,1
5800,0.0160027,1,0.0795349,0.97
5900,0.158389,0.99,0.0256029,0.99
6000,0.0213774,1,0.0888896,0.97
6100,0.0270334,1,0.0552928,0.99
6200,0.0190882,1,0.00550098,1
6300,0.0608028,1,0.0542643,0.97
6400,0.0298866,1,0.0206659,1
6500,0.0173775,1,0.0342561,0.99
6600,0.0272829,1,0.0464426,0.99
6700,0.0507982,1,0.0451768,0.98
6800,0.0693652,1,0.0450646,0.98
6900,0.0193863,1,0.0248164,0.99
7000,0.0515465,1,0.0640217,0.98
7100,0.0215919,1,0.0186118,1
7200,0.00806081,1,0.036359,0.98
7300,0.0366252,1,0.0552043,0.98
7400,0.0262187,1,0.0326104,0.99
7500,0.0226471,1,0.00659917,1
7600,0.023342,1,0.0265982,1
7700,0.0191204,1,0.00865215,1
7800,0.041942,0.99,0.0186024,0.99
7900,0.0205133,1,0.0352039,0.99
8000,0.0448536,1,0.0507599,0.98
8100,0.00901337,1,0.0298007,0.99
8200,0.0120455,1,0.0350697,0.99
8300,0.00908534,1,0.101042,0.96
8400,0.0477035,0.99,0.0260617,0.99
8500,0.0502934,1,0.0150745,1
8600,0.0708931,1,0.0529629,0.99
8700,0.0178288,1,0.084517,0.97
8800,0.0134728,1,0.0171565,1
8900,0.0104416,1,0.0058163,1
9000,0.0639198,1,0.0107325,1
9100,0.00732024,1,0.0395057,0.99
9200,0.0478667,1,0.0424933,0.98
9300,0.0139581,1,0.0401492,0.99
9400,0.0527862,0.98,0.0332009,0.99
9500,0.0788861,0.98,0.00747765,1
9600,0.0329223,1,0.0695549,0.96
9700,0.0102972,1,0.0307265,0.99
9800,0.0920354,0.99,0.0241916,1
9900,0.0663174,0.99,0.0399515,0.99
