Iteration,Loss,Train_Accuracy,MSE,Precision,Recall,F1_Score
0,2.30261,0.18,0.0999609,0.0367865,0.132967,0.0576293
100,2.29938,0.13,0.0998004,0.013,0.1,0.0230088
200,2.2839,0.19,0.0972218,0.173166,0.185882,0.179299
300,1.24625,0.7,2.72519,0.741883,0.669794,0.703998
400,0.519629,0.89,14.6791,0.903723,0.883561,0.893528
500,0.394708,0.92,19.8751,0.925793,0.930547,0.928164
600,0.247057,0.95,21.7044,0.953889,0.950354,0.952118
700,0.430513,0.89,17.5868,0.867159,0.878186,0.872638
800,0.210103,0.97,22.1488,0.973214,0.970085,0.971647
900,0.252943,0.96,22.8584,0.960598,0.94127,0.950836
1000,0.318097,0.94,22.0673,0.933577,0.940909,0.937229
1100,0.205679,0.96,19.4287,0.953333,0.950318,0.951823
1200,0.335403,0.93,21.122,0.930758,0.914881,0.922751
1300,0.121858,0.99,23.3262,0.994118,0.99,0.992055
1400,0.354321,0.93,26.8646,0.952857,0.935238,0.943965
1500,0.0976371,0.98,23.8858,0.984524,0.980909,0.982713
1600,0.105525,0.98,22.4831,0.985165,0.979808,0.982479
1700,0.140277,0.98,22.7872,0.983217,0.980909,0.982062
1800,0.203723,0.98,25.2271,0.978409,0.979798,0.979103
1900,0.105725,1,25.283,1,1,1
2000,0.247553,0.97,23.7967,0.975556,0.974675,0.975115
2100,0.114832,0.97,23.7943,0.954861,0.970373,0.962555
2200,0.0775231,0.99,23.4527,0.99,0.99,0.99
2300,0.0746153,0.99,28.1168,0.9875,0.990909,0.989202
2400,0.089308,0.98,26.2145,0.970909,0.985165,0.977985
2500,0.125372,0.99,24.6989,0.988889,0.990909,0.989898
2600,0.0612004,1,27.0594,1,1,1
2700,0.0795453,0.99,25.6673,0.988889,0.992857,0.990869
2800,0.149831,0.98,31.3347,0.983974,0.975641,0.97979
2900,0.173238,0.98,26.8109,0.979464,0.970909,0.975168
3000,0.142512,0.99,24.9611,0.990909,0.992857,0.991882
3100,0.107124,0.98,24.7701,0.983333,0.970833,0.977043
3200,0.113174,0.99,29.6824,0.988889,0.994737,0.991804
3300,0.0384793,1,30.0427,1,1,1
3400,0.164936,0.99,35.7381,0.991667,0.985714,0.988681
3500,0.0428897,1,30.5992,1,1,1
3600,0.0248584,1,33.1758,1,1,1
3700,0.14014,0.97,29.0796,0.975641,0.972308,0.973972
3800,0.086945,1,34.8819,1,1,1
3900,0.0894379,1,33.0123,1,1,1
4000,0.0773444,1,30.6257,1,1,1
4100,0.0309398,1,34.6865,1,1,1
4200,0.0150487,1,37.897,1,1,1
4300,0.0858802,0.99,36.0827,0.983333,0.983333,0.983333
4400,0.0501288,1,35.6177,1,1,1
4500,0.0951385,0.99,35.6584,0.991667,0.988889,0.990276
4600,0.0676485,1,38.1656,1,1,1
4700,0.0648793,0.99,39.4725,0.988889,0.983333,0.986103
4800,0.0993885,1,35.4852,1,1,1
4900,0.054602,1,36.4835,1,1,1
5000,0.03251,0.99,41.3361,0.9875,0.992857,0.990171
5100,0.0578574,1,37.3326,1,1,1
5200,0.04336,1,39.206,1,1,1
5300,0.0240071,1,40.5763,1,1,1
5400,0.0834353,1,38.8009,1,1,1
5500,0.0786926,0.99,42.7861,0.992857,0.991667,0.992262
5600,0.0173147,1,39.2256,1,1,1
5700,0.0126992,1,36.0669,1,1,1
5800,0.0685947,0.99,41.7039,0.99,0.985714,0.987853
5900,0.14052,0.97,39.0079,0.945,0.958217,0.951562
6000,0.0494962,1,39.4108,1,1,1
6100,0.0355813,1,40.4265,1,1,1
6200,0.0666661,0.98,38.8615,0.985165,0.983333,0.984248
6300,0.0639918,1,42.4465,1,1,1
6400,0.0151995,1,45.296,1,1,1
6500,0.0384308,0.99,41.0001,0.988889,0.990909,0.989898
6600,0.0232905,1,41.4807,1,1,1
6700,0.0177841,1,48.8533,1,1,1
6800,0.064328,1,45.2467,1,1,1
6900,0.0866289,1,42.1039,1,1,1
7000,0.0395299,1,46.8337,1,1,1
7100,0.0560943,1,45.3053,1,1,1
7200,0.0583181,1,47.249,1,1,1
7300,0.0106156,1,50.2102,1,1,1
7400,0.109976,0.99,43.5537,0.992308,0.985714,0.989
7500,0.0910875,1,50.8315,1,1,1
7600,0.0444133,1,43.1774,1,1,1
7700,0.0267052,1,53.1135,1,1,1
7800,0.0613893,1,43.9532,1,1,1
7900,0.0560801,1,45.3776,1,1,1
8000,0.0295682,1,48.976,1,1,1
8100,0.119047,0.99,48.5724,0.992857,0.9875,0.990171
8200,0.00828956,1,49.1985,1,1,1
8300,0.0610582,1,55.7767,1,1,1
8400,0.0684703,0.99,47.6767,0.99,0.992308,0.991152
8500,0.0513407,0.99,55.1125,0.994737,0.99,0.992363
8600,0.0285073,1,46.6381,1,1,1
8700,0.00488425,1,55.8375,1,1,1
8800,0.0433372,1,58.1058,1,1,1
8900,0.0104307,1,55.972,1,1,1
9000,0.0134299,1,54.2853,1,1,1
9100,0.0137074,1,46.73,1,1,1
9200,0.0127097,1,49.0673,1,1,1
9300,0.0696076,1,47.3633,1,1,1
9400,0.0848393,0.99,52.6139,0.99,0.988889,0.989444
9500,0.0288238,1,57.4805,1,1,1
9600,0.0465585,1,53.3212,1,1,1
9700,0.0948089,0.99,53.9148,0.99,0.988889,0.989444
9800,0.0470814,0.99,52.0267,0.990909,0.993333,0.99212
9900,0.12298,1,54.0388,1,1,1
